Country_exporting_to_India,Principal_Commodity,Quantity_2011_12,Quantity_2012_13
U ARAB EMTS,"SILK,RAW",3,3
U K,"SILK,RAW",21,14
U S A,"SILK,RAW",51,4
UZBEKISTAN,"SILK,RAW",80,50
VIETNAM SOC REP,"SILK,RAW",16,14
AUSTRALIA,SILK YARN & FABRICS,0,0
AUSTRIA,SILK YARN & FABRICS,0,0
BAHARAIN IS,SILK YARN & FABRICS,0,0
BELGIUM,SILK YARN & FABRICS,0,0
BRAZIL,SILK YARN & FABRICS,0,0
BULGARIA,SILK YARN & FABRICS,0,0
BELARUS,SILK YARN & FABRICS,0,0
CANADA,SILK YARN & FABRICS,0,0
CHAD,SILK YARN & FABRICS,0,0
CHILE,SILK YARN & FABRICS,0,0
TAIWAN,SILK YARN & FABRICS,0,0
CHINA P RP,SILK YARN & FABRICS,0,0
CZECH REPUBLIC,SILK YARN & FABRICS,0,0
DENMARK,SILK YARN & FABRICS,0,0
EGYPT A RP,SILK YARN & FABRICS,0,0
ESTONIA,SILK YARN & FABRICS,0,0
FINLAND,SILK YARN & FABRICS,0,0
FRANCE,SILK YARN & FABRICS,0,0
GERMANY,SILK YARN & FABRICS,0,0
GHANA,SILK YARN & FABRICS,0,0
HONDURAS,SILK YARN & FABRICS,0,0
HONG KONG,SILK YARN & FABRICS,0,0
HUNGARY,SILK YARN & FABRICS,0,0
INDONESIA,SILK YARN & FABRICS,0,0
IRELAND,SILK YARN & FABRICS,0,0
ISRAEL,SILK YARN & FABRICS,0,0
ITALY,SILK YARN & FABRICS,0,0
JAPAN,SILK YARN & FABRICS,0,0
KOREA RP,SILK YARN & FABRICS,0,0
LATVIA,SILK YARN & FABRICS,0,0
LITHUANIA,SILK YARN & FABRICS,0,0
MADAGASCAR,SILK YARN & FABRICS,0,0
MALAYSIA,SILK YARN & FABRICS,0,0
MYANMAR,SILK YARN & FABRICS,0,0
MEXICO,SILK YARN & FABRICS,0,0
NETHERLAND,SILK YARN & FABRICS,0,0
NIGERIA,SILK YARN & FABRICS,0,0
NORWAY,SILK YARN & FABRICS,0,0
PAKISTAN IR,SILK YARN & FABRICS,0,0
PHILIPPINES,SILK YARN & FABRICS,0,0
POLAND,SILK YARN & FABRICS,0,0
PUERTO RICO,SILK YARN & FABRICS,0,0
ROMANIA,SILK YARN & FABRICS,0,0
RUSSIA,SILK YARN & FABRICS,0,0
SAUDI ARAB,SILK YARN & FABRICS,0,0
SLOVAK REP,SILK YARN & FABRICS,0,0
SINGAPORE,SILK YARN & FABRICS,0,0
SLOVENIA,SILK YARN & FABRICS,0,0
SOUTH AFRICA,SILK YARN & FABRICS,0,0
SPAIN,SILK YARN & FABRICS,0,0
SRI LANKA DSR,SILK YARN & FABRICS,0,0
SUDAN,SILK YARN & FABRICS,0,0
SWEDEN,SILK YARN & FABRICS,0,0
SWITZERLAND,SILK YARN & FABRICS,0,0
THAILAND,SILK YARN & FABRICS,0,0
TURKEY,SILK YARN & FABRICS,0,0
U ARAB EMTS,SILK YARN & FABRICS,0,0
U K,SILK YARN & FABRICS,0,0
U S A,SILK YARN & FABRICS,0,0
UZBEKISTAN,SILK YARN & FABRICS,0,0
VIETNAM SOC REP,SILK YARN & FABRICS,0,0
UNSPECIFIED,SILK YARN & FABRICS,0,0
ALGERIA,RAW HIDES & SKINS,0,0
ARGENTINA,RAW HIDES & SKINS,0,0
AUSTRALIA,RAW HIDES & SKINS,0,0
AUSTRIA,RAW HIDES & SKINS,0,0
AZERBAIJAN,RAW HIDES & SKINS,0,0
BANGLADESH PR,RAW HIDES & SKINS,0,0
BELGIUM,RAW HIDES & SKINS,0,0
BOLIVIA,RAW HIDES & SKINS,0,0
BOSNIA-HRZGOVIN,RAW HIDES & SKINS,0,0
BRAZIL,RAW HIDES & SKINS,0,0
BRUNEI,RAW HIDES & SKINS,0,0
BURUNDI,RAW HIDES & SKINS,0,0
BELARUS,RAW HIDES & SKINS,0,0
CANADA,RAW HIDES & SKINS,0,0
TAIWAN,RAW HIDES & SKINS,0,0
CHINA P RP,RAW HIDES & SKINS,0,0
COLOMBIA,RAW HIDES & SKINS,0,0
CUBA,RAW HIDES & SKINS,0,0
CZECH REPUBLIC,RAW HIDES & SKINS,0,0
DENMARK,RAW HIDES & SKINS,0,0
DJIBOUTI,RAW HIDES & SKINS,0,0
DOMINIC REP,RAW HIDES & SKINS,0,0
ECUADOR,RAW HIDES & SKINS,0,0
EGYPT A RP,RAW HIDES & SKINS,0,0
ESTONIA,RAW HIDES & SKINS,0,0
ETHIOPIA,RAW HIDES & SKINS,0,0
FINLAND,RAW HIDES & SKINS,0,0
FRANCE,RAW HIDES & SKINS,0,0
GEORGIA,RAW HIDES & SKINS,0,0
GERMANY,RAW HIDES & SKINS,0,0
GREECE,RAW HIDES & SKINS,0,0
GUINEA,RAW HIDES & SKINS,0,0
HONDURAS,RAW HIDES & SKINS,0,0
HONG KONG,RAW HIDES & SKINS,0,0
HUNGARY,RAW HIDES & SKINS,0,0
ICELAND,RAW HIDES & SKINS,0,0
INDONESIA,RAW HIDES & SKINS,0,0
IRAN,RAW HIDES & SKINS,0,0
IRAQ,RAW HIDES & SKINS,0,0
IRELAND,RAW HIDES & SKINS,0,0
ISRAEL,RAW HIDES & SKINS,0,0
ITALY,RAW HIDES & SKINS,0,0
JAPAN,RAW HIDES & SKINS,0,0
JORDAN,RAW HIDES & SKINS,0,0
KENYA,RAW HIDES & SKINS,0,0
KOREA RP,RAW HIDES & SKINS,0,0
KUWAIT,RAW HIDES & SKINS,0,0
LEBANON,RAW HIDES & SKINS,0,0
LIBYA,RAW HIDES & SKINS,0,0
MADAGASCAR,RAW HIDES & SKINS,0,0
